Date,ItraxxMain,ItraxxXover,CDX_IG,SPX_Price,SPX_Volume,EuSt_Price,EuSt_Volume
2008-03-26,96.8595,94.1455,95.833,1341.13,1213104384.0,3611.45,1045651904.0
2008-03-27,96.8522,94.3007,95.5177,1325.76,1231273216.0,3652.1101,976769536.0
2008-03-28,96.7521,93.9429,95.4412,1315.22,1146454656.0,3641.05,773407360.0
2008-03-31,96.4703,93.2155,95.3762,1322.7,1284672128.0,3628.0601,768117248.0
2008-04-01,96.9579,94.4577,95.9428,1370.18,1426598656.0,3753.55,1236598528.0
2008-04-02,97.4212,95.3285,96.4694,1367.53,1199183616.0,3797.8999,1254512256.0
2008-04-03,97.6423,95.7819,96.7022,1369.31,1027905664.0,3774.9399,1156670336.0
2008-04-04,97.9838,96.9841,96.9302,1370.4,1034864192.0,3795.2,1140293376.0
2008-04-07,98.1533,97.4176,96.8569,1372.54,1048172160.0,3828.46,912882304.0
2008-04-08,97.7443,96.626,96.5354,1365.54,1016386880.0,3810.51,906603200.0
2008-04-09,97.3653,95.8747,96.3001,1354.49,1047758016.0,3775.9299,1151099264.0
2008-04-10,97.2511,95.6622,96.351,1360.55,1161137024.0,3758.05,1146637952.0
2008-04-11,97.35,95.7739,96.0607,1332.83,1127816832.0,3699.99,1153984896.0
2008-04-14,97.0863,95.0898,95.9889,1328.32,962682624.0,3671.28,867880512.0
2008-04-15,97.2335,95.0696,96.3094,1334.43,1023331072.0,3690.75,1013262784.0
2008-04-16,97.7089,96.0555,96.7654,1364.71,1233025408.0,3748.5601,1138548992.0
2008-04-17,98.0349,96.6398,96.8984,1365.56,1028253952.0,3725.23,1154151040.0
2008-04-18,98.3946,97.6774,97.236,1390.33,1354064384.0,3808.5901,1157891072.0
2008-04-21,98.1475,97.2473,97.275,1388.17,967534016.0,3769.8899,898628800.0
2008-04-22,98.3068,97.5994,97.0825,1375.94,1093922816.0,3736.1201,977225280.0
2008-04-23,98.3814,97.8616,97.0674,1379.93,1208635776.0,3763.55,1307939456.0
2008-04-24,98.2057,97.732,97.1271,1388.82,1286480896.0,3761.96,1188525440.0
2008-04-25,98.4974,98.5253,97.3747,1397.84,1127916416.0,3794.3899,956243584.0
2008-04-28,98.7973,99.5614,97.6506,1396.37,1009820416.0,3814.76,824160000.0
2008-04-29,98.6885,98.9673,97.6442,1390.94,1033607424.0,3793.6299,823183552.0
2008-04-30,98.7602,98.936,97.5915,1385.59,1246618368.0,3825.02,1005888512.0
2008-05-02,99.1933,100.6096,98.0298,1413.9,1146836096.0,3877.5,1229540864.0
2008-05-06,98.844,99.6605,97.7459,1418.26,1206162688.0,3845.0801,1049994560.0
2008-05-07,98.7575,99.4074,97.2982,1392.57,1158957184.0,3871.78,982430144.0
2008-05-08,98.4654,98.4434,97.2248,1397.68,1035696128.0,3855.8601,1124490752.0
2008-05-09,98.5029,98.3484,97.2164,1388.28,887823616.0,3801.5901,1368709120.0
2008-05-12,98.6257,98.8488,97.4434,1403.58,886924672.0,3812.6899,1246899456.0
2008-05-13,98.729,99.1626,97.4931,1403.04,1091673472.0,3817.0701,1471659776.0
2008-05-14,98.8759,99.5828,97.6189,1408.66,1067694144.0,3857.46,1904265216.0
2008-05-15,98.9543,99.8673,97.87,1423.57,1095822336.0,3854.8601,1125390592.0
2008-05-16,99.0563,100.1583,97.8259,1425.35,1227588736.0,3862.9099,1279268736.0
2008-05-19,99.1546,100.8221,97.8428,1426.63,1009353728.0,3882.28,716011776.0
2008-05-20,98.933,100.1273,97.7515,1413.4,1092958080.0,3822.3101,963782016.0
2008-05-21,98.744,99.5509,97.4269,1390.71,1186991488.0,3794.1299,1146457856.0
2008-05-22,98.5185,98.8968,97.2218,1394.35,1006340800.0,3793.03,1371254272.0
2008-05-23,98.2298,97.8412,97.013,1375.93,955730240.0,3725.8201,1088743424.0
2008-05-27,98.2322,97.7173,97.1539,1385.35,955149824.0,3711.03,1227460352.0
2008-05-28,98.4723,98.3962,97.2812,1390.84,1007356992.0,3743.1799,898612480.0
2008-05-29,98.5907,98.6432,97.295,1398.26,1003277312.0,3752.24,852800384.0
2008-05-30,98.6462,98.9371,97.371,1400.38,1115171328.0,3777.8501,878701568.0
2008-06-02,98.386,98.0885,97.1333,1385.67,996467072.0,3720.5,774366720.0
2008-06-03,98.2922,97.9515,97.017,1377.65,1166024192.0,3737.3401,755667648.0
2008-06-04,98.2318,97.9043,96.9085,1377.2,1147138176.0,3699.05,742599616.0
2008-06-05,98.3165,98.3574,97.1257,1404.05,1090836096.0,3682.8301,1048719296.0
